"","xihao","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"149",162,0,0,0,0,0.2,0.3,0.3,0.4,0.3,0.5,0.7,0.5,1,2.2,3.8,6.6
"150",163,0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.9,1,2.2,3.4,5.6
"151",164,0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.8,1,1.4,2.8,3.7,4.9
"152",165,0,0,0,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.5,0.7,1.3,2.3,3.8
"153",167,0,0,0.1,0,0.2,0.3,0.4,0.4,0.3,0.5,0.8,0.9,1.5,3,5,9.8
"154",168,0,0,0,0.1,0.3,0.3,0.3,0.4,0.4,0.5,1.8,0.8,0.9,1.7,2.5,3.4
"155",169,0,0,0.2,0.2,0.3,0.3,0.4,0.6,0.7,0.9,1.2,1.7,2.3,4.4,6.7,8.5
"156",170,0,0,0,0,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.5,1.2,2.1,3
"157",171,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.6,0.7,1.4,2.3,4
"158",172,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.5,2
"159",173,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.8,0.4,1.1,2.1,4
"160",174,0,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.8,1,1.5,3.1,5,7
"161",175,0,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.7,0.8,1,1.4,2.9,4.3,6
"163",177,0,0,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.6,1.1,1
"164",178,0,0,0,0,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.3,0.5,0.9,2.5,4.2
"165",179,0,0,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.4,0.3,0.4,0.3,0.6,1,1.8
"166",180,0,0,0,0.1,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.9,1.7,3.2,6.1
"167",181,0,0,0.1,0,0.3,0.3,0.3,0.5,0.5,0.7,1,1,1.7,3.2,4.2,6.6
"168",183,0,0,0,0,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.5,1,1.5,3.4
"170",185,0,0,0,0,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.4,0.6,1.1,1.8,2.7
"172",187,0,0,0,0,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.5,0.5,1.6,2.8,5.3
"173",188,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,1.3,1.9,2.9
"174",189,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.9,2.5,3.6,3.8
"176",191,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.6,0.8,1.8,2.4,4.1
"178",193,0,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.7,1,1.2,2.7,3.6,6.1
"180",195,0,0,0.1,0.1,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.9,1.6,3.8
"181",196,0,0,0,0,0,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,1.1,1.6,1.9
"182",197,0,0,0,0.1,0.4,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,1.3,1.9,3.2
"184",199,0,0,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.8,1.1,1.4,2.7,4.3,5.5
"185",200,0,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.8,1,1.5,2,3.8,5.4,8.2
"186",201,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.5,1.2,1.8,2.7
"187",202,0,0,0,0,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.7,1.3,2.3,3.3
"189",204,0,0,0,0.1,0.4,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.5,3.5,5.3,7.1
"190",206,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.7,1.2,2.5,3.7,5.7
"191",207,0,0.1,0.1,0.2,0.4,0.4,0.4,0.6,0.6,0.8,1,1.4,1.8,3,3.9,5.2
"192",208,0,0.1,0.1,0.1,0.3,0.2,0.2,0.3,0.4,0.5,0.6,0.9,1.5,3.5,5.4,7.8
"194",211,0,0.1,0.1,0.1,0.3,0.2,0.2,0.3,0.4,0.5,0.4,0.6,0.8,1.5,2,2.6
"195",212,0,0.1,0.1,0.2,0.3,0.3,0.3,0.5,0.7,0.8,1,1.2,1.4,2.8,3.7,5
"197",215,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.7,1,1.5
"198",216,0,0,0,0,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.8,1.8,3,4.9
"199",217,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.5,1.6,2.3,3.9
"200",218,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.6,1.4,2.9,4.2
"201",219,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.8,2,2.8,4.2
"202",220,0,0,0.1,0.1,0.4,0.5,0.7,0.9,1.1,1.4,2,2.6,3.3,5.3,6.7,8.3
"203",221,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.6,1,1.5,2.1
"204",222,0,0.1,0.2,0.2,0.4,0.4,0.5,0.5,0.7,0.8,1,1.3,1.8,3.3,4.9,6.2
"205",223,0,0,0,0,0.5,0.5,0.5,0.7,0.5,0.7,0.9,0.9,1.1,2,2.7,4.7
"206",224,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.9,1.5,2.5
"207",225,0,0,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.4,0.4,0.6,0.7,1.8,2.9,4.8
"208",227,0,0,0.1,0.1,0.3,0.2,0.2,0.3,0.3,0.5,0.6,0.6,1,2.3,3.8,5.3
"209",228,0,0,0,0,0.2,0.2,0.3,0.3,0.3,0.5,0.7,0.6,1.2,2.5,3.9,6.6
"210",229,0,0,0.1,0.1,0.4,0.5,0.7,0.9,1.1,1.4,2,2.6,3.3,5.3,6.7,8.3
"211",230,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,1.3,2.2,4.6
"212",231,0,0,0,0,0.3,0.2,0.3,0.4,0.4,0.5,0.6,0.6,1,1.6,2.4,4.1
